iter	Logloss
0	0.5985846417
1	0.5239404701
2	0.4744010246
3	0.4322739297
4	0.3997894065
5	0.3719444269
6	0.347313246
7	0.3275449099
8	0.3116126926
9	0.2954463838
10	0.2853931651
11	0.2761126906
12	0.2667207742
13	0.2574459965
14	0.2510732438
15	0.2453285529
16	0.2391794392
17	0.2333673599
18	0.2288555871
19	0.2235777195
20	0.220050832
21	0.2157480438
22	0.2113479643
23	0.2067839161
24	0.2034334702
25	0.1998758575
26	0.1970616835
27	0.1939673412
28	0.1915792401
29	0.1885166037
30	0.1850706422
31	0.1824978725
32	0.1806157872
33	0.1783497432
34	0.1760806667
35	0.1743974573
36	0.1727506183
37	0.1711310028
38	0.1680395508
39	0.1666907318
40	0.1645938512
41	0.1624114167
42	0.1607273783
43	0.1594438688
44	0.1581757406
45	0.1561429464
46	0.1537239316
47	0.1527233066
48	0.150839824
49	0.1493238396
50	0.1480960869
51	0.1456499
52	0.1437829992
53	0.1427380829
54	0.1413784185
55	0.140174849
56	0.1379281405
57	0.1367395544
58	0.1352345304
59	0.1336936158
60	0.1326722203
61	0.1312485151
62	0.130310031
63	0.1290246684
64	0.127787886
65	0.1265862695
66	0.1252124396
67	0.123273777
68	0.1225807712
69	0.1217692996
70	0.1206715753
71	0.1188844702
72	0.1176851753
73	0.1163473432
74	0.1151657618
75	0.1142029812
76	0.1133045216
77	0.1124426352
78	0.111023563
79	0.1098517054
80	0.1091393814
81	0.107864909
82	0.1073885068
83	0.1066291675
84	0.1059783752
85	0.1046065174
86	0.1034900961
87	0.1024221279
88	0.1015158556
89	0.09998509545
90	0.09879526831
91	0.0981401571
92	0.09744345709
93	0.09668816714
94	0.09635299002
95	0.09587817574
96	0.09428600726
97	0.0930108383
98	0.09192535006
99	0.09075549171
100	0.08957281414
101	0.08866171373
102	0.08836440297
103	0.08695921657
104	0.08575117226
105	0.08500203902
106	0.08424775701
107	0.08346146656
108	0.08252795857
109	0.08188646017
110	0.08156683335
111	0.08087495678
112	0.08000794231
113	0.07914557008
114	0.07841747318
115	0.07756717643
116	0.07711336025
117	0.07682429299
118	0.07608013048
119	0.07506881784
120	0.07426226079
121	0.07389744426
122	0.07344793672
123	0.07243287921
124	0.07194156751
125	0.07151865243
126	0.07066598874
127	0.06955838223
128	0.06908760506
129	0.06875733295
130	0.0678699157
131	0.06723609217
132	0.06649012556
133	0.06572710086
134	0.06479784636
135	0.06433105431
136	0.06394604126
137	0.06323074326
138	0.06268892561
139	0.06189694024
140	0.06095447426
141	0.0605329155
142	0.05973805516
143	0.05912959018
144	0.05856227742
145	0.0581028016
146	0.05744566653
147	0.05710796714
148	0.05683366714
149	0.05604240338
150	0.05556048472
151	0.05500534589
152	0.0545013734
153	0.05445655622
154	0.05390709987
155	0.05346757001
156	0.05319994329
157	0.05268449803
158	0.05236468702
159	0.05184619431
160	0.05156421314
161	0.05105915194
162	0.05044676831
163	0.04978960964
164	0.04940899762
165	0.04883003338
166	0.04855660496
167	0.04820221147
168	0.04816654374
169	0.04779592346
170	0.04728160546
171	0.04663198419
172	0.04647966155
173	0.04623144463
174	0.04594984809
175	0.04556989483
176	0.04515634934
177	0.04478265711
178	0.04413323
179	0.04394075781
180	0.04389517629
181	0.04342614742
182	0.04298817689
183	0.04296801401
184	0.04246607401
185	0.04226742618
186	0.0419757879
187	0.04172706059
188	0.0412987887
189	0.04114097336
190	0.04079493128
191	0.04053816285
192	0.04048730143
193	0.0401949559
194	0.0397377254
195	0.03942917569
196	0.0391860811
197	0.03886758625
198	0.03864659479
199	0.0383698839
200	0.03803458342
201	0.03762531001
202	0.03748103581
203	0.03736097956
204	0.03705393408
205	0.03662343931
206	0.03620800503
207	0.03594899981
208	0.03563980778
209	0.03527032611
210	0.03502122921
211	0.03471722229
212	0.03445545703
213	0.03432609432
214	0.03411997351
215	0.03392604105
216	0.03378230242
217	0.03357141267
218	0.03323156703
219	0.03284231621
220	0.03253503544
221	0.0323097943
222	0.03219298056
223	0.03200123382
224	0.03181765099
225	0.03148983939
226	0.03130088066
227	0.03107551926
228	0.0308209725
229	0.03061151049
230	0.03031449411
231	0.03020863143
232	0.02997715958
233	0.02969459603
234	0.02946162292
235	0.02929709312
236	0.02909929707
237	0.02883828271
238	0.02865970126
239	0.02847290271
240	0.0283623298
241	0.02822983099
242	0.02792463671
243	0.02775912371
244	0.02761145095
245	0.0274156006
246	0.02710702275
247	0.02693807462
248	0.0267644838
249	0.02664653728
250	0.02641839136
251	0.02624776141
252	0.02605780304
253	0.02587726605
254	0.02585900185
255	0.02569862445
256	0.02553450698
257	0.02541355364
258	0.02533453706
259	0.0252569353
260	0.02502876555
261	0.02490168402
262	0.02471697097
263	0.02458122958
264	0.02433366206
265	0.02416648309
266	0.02398954999
267	0.0238001982
268	0.02378921493
269	0.02375767023
270	0.02357739635
271	0.02352718602
272	0.0233926061
273	0.02327186434
274	0.02315904049
275	0.02312503418
276	0.02298385915
277	0.02282202591
278	0.02263474581
279	0.02239108411
280	0.02230082342
281	0.02215896021
282	0.02205762506
283	0.02190311907
284	0.02176692386
285	0.02170497668
286	0.02166238444
287	0.02156894001
288	0.02146525058
289	0.02133793532
290	0.0213322014
291	0.02123491719
292	0.0212301212
293	0.02103715162
294	0.02102847162
295	0.02090844043
296	0.02079602541
297	0.02063762079
298	0.0205702719
299	0.02041491878
